key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
https://www.sports-reference.com/cfb/players/dorial-green-beckham-1.html,Dorial Green-Beckham,257.0,WR,Oklahoma,2015.0,,269,Oklahoma,23.803460454815013,13.0,119.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,25.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.45,0.0,0.0,0.0,0.0,6.89,33.5,237.0
https://www.sports-reference.com/cfb/players/dorien-bryant-1.html,Dorien Bryant,257.0,WR,Purdue,2008.0,,112,Purdue,21.48567540540055,13.231368702289728,119.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.24,0.0,0.0,0.0,0.0,6.88,34.20190244507718,174.0
https://www.sports-reference.com/cfb/players/doug-chapman-1.html,Doug Chapman,257.0,RB,Marshall,2000.0,,53,Marshall,23.426612711878732,16.0,128.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,34.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.2,0.0,0.0,0.0,0.0,6.84,38.5,215.0
https://www.sports-reference.com/cfb/players/doug-datish-1.html,Doug Datish,257.0,C,Ohio State,2007.0,,149,Ohio State,22.24861896392172,31.0,102.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,13.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.65,0.0,0.0,0.0,0.0,7.51,26.0,302.0
https://www.sports-reference.com/cfb/players/doug-gabriel-1.html,Doug Gabriel,257.0,WR,Central Florida,2003.0,,73,Central Florida,22.38534897885193,17.285373225675954,116.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,22.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.16,0.0,0.0,0.0,0.0,7.05,35.5,213.0
https://www.sports-reference.com/cfb/players/doug-hogue-1.html,Doug Hogue,257.0,OLB,Syracuse,2011.0,,100,Syracuse,23.21357767476642,18.0,121.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,45.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.57,0.0,0.0,0.0,0.0,7.09,36.0,235.0
https://www.sports-reference.com/cfb/players/doug-johnson-3.html,Doug Johnson,257.0,QB,Florida,2000.0,,304,Florida,21.097078241721327,15.634429632871814,96.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,37.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.470173086339486,0.0,0.0,0.0,0.0,7.4469155464971974,29.5,226.0
https://www.sports-reference.com/cfb/players/doug-jolley-1.html,Doug Jolley,257.0,TE,BYU,2002.0,,96,BYU,24.228729852031663,18.0,117.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,33.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.18,0.0,0.0,0.0,0.0,6.9,38.0,251.0
https://www.sports-reference.com/cfb/players/doug-martin-1.html,Doug Martin,257.0,RB,Boise State,2012.0,,48,SMALL SCHOOL,22.47363991328909,28.0,120.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,52.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.16,0.0,0.0,0.0,0.0,6.79,36.0,223.0
https://www.sports-reference.com/cfb/players/doug-worthington-1.html,Doug Worthington,257.0,DT,Ohio State,2010.0,,149,Ohio State,23.521219993928263,19.0,109.56694097182078,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,45.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.582338518911248,0.0,0.0,0.0,0.0,7.527636530460788,30.805987616678067,292.0
https://www.sports-reference.com/cfb/players/doug-zeigler-1.html,Doug Zeigler,257.0,TE,Mississippi,2003.0,,137,Mississippi,23.37932035906048,20.0,117.78712919554047,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,33.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.366607525945957,0.0,0.0,0.0,0.0,7.186191252140936,34.06582695318326,257.0
https://www.sports-reference.com/cfb/players/dqwell-jackson-1.html,D'Qwell Jackson,257.0,ILB,Maryland,2006.0,,117,Maryland,22.91853784003695,19.0,116.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,34.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.36,0.0,0.0,0.0,0.0,7.05,37.0,230.0
https://www.sports-reference.com/cfb/players/drake-dunsmore-1.html,Drake Dunsmore,257.0,FB,Northwestern,2012.0,,78,Northwestern,23.602260779242624,21.0,117.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,51.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.03,0.0,0.0,0.0,0.0,6.73,35.5,241.0
https://www.sports-reference.com/cfb/players/drake-nevis-1.html,Drake Nevis,257.0,DT,LSU,2011.0,,331,LSU,22.310207738935922,31.0,112.0,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,44.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.65,0.0,0.0,0.0,0.0,7.71,30.5,294.0
https://www.sports-reference.com/cfb/players/dre-kirkpatrick-1.html,Dre Kirkpatrick,257.0,CB,Alabama,2012.0,,337,Alabama,22.10452899277516,12.491439532968684,120.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,38.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.16328459926053,0.0,0.0,0.0,0.0,6.876387505831086,35.0,186.0
